timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1.63608E+12,331,Get HTTP Request,200,,GET Owner Group 1-12,text,TRUE,,221,139,20,260,https://ice-factory-api.herokuapp.com/owner,331,0,0
1.63608E+12,324,Post HTTP Request,200,,POST Owner Group 2-12,text,TRUE,,219,230,20,260,https://ice-factory-api.herokuapp.com/owner,324,0,0
1.63608E+12,351,Get HTTP Request,200,,GET Bill Group 12-9,text,TRUE,,8416,138,20,260,https://ice-factory-api.herokuapp.com/bill,351,0,0
1.63608E+12,275,Get HTTP Request,200,,GET Staff Group 3-6,text,TRUE,,876,139,20,260,https://ice-factory-api.herokuapp.com/staff,275,0,0
1.63608E+12,269,Post HTTP Request,200,,POST Product Group 8-4,text,TRUE,,252,265,20,260,https://ice-factory-api.herokuapp.com/product,269,0,0
1.63608E+12,372,Get HTTP Request,200,,GET Bill Group 12-3,text,TRUE,,8416,138,20,260,https://ice-factory-api.herokuapp.com/bill,372,0,0
1.63608E+12,351,Post HTTP Request,200,,POST Bill Group 13-5,text,TRUE,,743,753,20,260,https://ice-factory-api.herokuapp.com/bill,350,0,0
1.63608E+12,357,Get HTTP Request,200,,GET Bill Group 12-11,text,TRUE,,8416,138,20,260,https://ice-factory-api.herokuapp.com/bill,356,0,0
1.63608E+12,345,Post HTTP Request,200,,POST Bill Group 13-11,text,TRUE,,743,753,20,260,https://ice-factory-api.herokuapp.com/bill,345,0,0
1.63608E+12,391,Get HTTP Request,200,,GET CustomerOrder Group 9-2,text,TRUE,,20696,147,20,260,https://ice-factory-api.herokuapp.com/customerOrder,358,0,0
1.63608E+12,365,Post HTTP Request,200,,POST Bill Group 13-6,text,TRUE,,743,753,20,260,https://ice-factory-api.herokuapp.com/bill,364,0,0
1.63608E+12,337,Post HTTP Request,200,,POST Customer Group 6-12,text,TRUE,,325,340,20,260,https://ice-factory-api.herokuapp.com/customer,336,0,0
1.63608E+12,345,Post HTTP Request,200,,POST CustomerOrder Group 10-12,text,TRUE,,1145,1164,20,260,https://ice-factory-api.herokuapp.com/customerOrder,345,0,0
1.63608E+12,1147,Get HTTP Request,200,,GET Staff Group 3-16,text,TRUE,,876,139,20,260,https://ice-factory-api.herokuapp.com/staff,1147,0,806
1.63608E+12,1154,Get HTTP Request,200,,GET Owner Group 1-16,text,TRUE,,221,139,20,260,https://ice-factory-api.herokuapp.com/owner,1154,0,810
1.63608E+12,353,Get HTTP Request,200,,GET Customer Group 5-5,text,TRUE,,1506,142,20,260,https://ice-factory-api.herokuapp.com/customer,353,0,0
1.63608E+12,339,Post HTTP Request,200,,POST Bill Group 13-12,text,TRUE,,743,753,20,260,https://ice-factory-api.herokuapp.com/bill,339,0,0
1.63608E+12,414,Get HTTP Request,200,,GET OrderItem Group 11-11,text,TRUE,,11522,143,20,260,https://ice-factory-api.herokuapp.com/orderItem,414,0,0
1.63608E+12,351,Post HTTP Request,200,,POST Bill Group 13-13,text,TRUE,,743,753,20,260,https://ice-factory-api.herokuapp.com/bill,351,0,0
1.63608E+12,409,Get HTTP Request,200,,GET OrderItem Group 11-6,text,TRUE,,11522,143,20,260,https://ice-factory-api.herokuapp.com/orderItem,409,0,0
1.63608E+12,346,Post HTTP Request,200,,POST Customer Group 6-13,text,TRUE,,325,340,20,260,https://ice-factory-api.herokuapp.com/customer,346,0,0
1.63608E+12,385,Get HTTP Request,200,,GET Bill Group 12-1,text,TRUE,,8416,138,20,260,https://ice-factory-api.herokuapp.com/bill,385,0,0
1.63608E+12,1157,Post HTTP Request,200,,POST Product Group 8-16,text,TRUE,,252,265,20,260,https://ice-factory-api.herokuapp.com/product,1157,0,808
1.63608E+12,1165,Get HTTP Request,200,,GET Customer Group 5-16,text,TRUE,,1506,142,20,260,https://ice-factory-api.herokuapp.com/customer,1165,0,815
1.63608E+12,415,Get HTTP Request,200,,GET CustomerOrder Group 9-7,text,TRUE,,20696,147,20,260,https://ice-factory-api.herokuapp.com/customerOrder,410,0,0
1.63608E+12,414,Get HTTP Request,200,,GET Bill Group 12-8,text,TRUE,,8416,138,20,260,https://ice-factory-api.herokuapp.com/bill,414,0,0
